customer_id, first_name, last_name, email, city, state, signup_date
1, Alex, Johnson, alex.johnson@email.com, Seattle, WA, 2023-01-12
2, Maria, Gonzalez, maria.gonzalez@email.com, Portland, OR, 2023-02-03
3, James, Smith, james.smith@email.com, Chicago, IL, 2023-02-22
4, Sophia, Lopez, sophia.lopez@email.com, Miami, FL, 2023-01-30
5, Ethan, Baker, ethan.baker@email.com, Austin, TX, 2023-04-18
6, Olivia, Clark, olivia.clark@email.com, Denver, CO, 2023-03-15
7, Liam, Hall, liam.hall@email.com, San Francisco, CA, 2023-02-14
8, Emma, Wilson, emma.wilson@email.com, Boston, MA, 2023-05-01
9, Noah, Turner, noah.turner@email.com, Phoenix, AZ, 2023-06-10
10, Ava, Roberts, ava.roberts@email.com, New York, NY, 2023-02-27
